"root_person_id","firstname","lastname","hops","follower_count"
"2","Carol","Garcia",1,"6"
"2","Carol","Garcia",2,"36"
"2","Carol","Garcia",3,"102"
"2","Carol","Garcia",4,"324"
"2","Carol","Garcia",5,"996"
"15","Pamela","Barnes",1,"5"
"15","Pamela","Barnes",2,"25"
"15","Pamela","Barnes",3,"100"
"15","Pamela","Barnes",4,"290"
"15","Pamela","Barnes",5,"875"
"65","Louis","Murphy",1,"1"
"65","Louis","Murphy",2,"1"
"65","Louis","Murphy",3,"4"
"65","Louis","Murphy",4,"11"
"65","Louis","Murphy",5,"33"
"73","Laura","Young",1,"5"
"73","Laura","Young",2,"25"
"73","Laura","Young",3,"65"
"73","Laura","Young",4,"210"
"73","Laura","Young",5,"685"
"104","Chris","Coleman",1,"3"
"104","Chris","Coleman",2,"9"
"104","Chris","Coleman",3,"15"
"104","Chris","Coleman",4,"48"
"104","Chris","Coleman",5,"153"
"134","Thomas","Taylor",1,"4"
"134","Thomas","Taylor",2,"16"
"134","Thomas","Taylor",3,"36"
"134","Thomas","Taylor",4,"100"
"134","Thomas","Taylor",5,"280"
"147","Gladys","Bennett",1,"4"
"147","Gladys","Bennett",2,"16"
"147","Gladys","Bennett",3,"52"
"147","Gladys","Bennett",4,"176"
"147","Gladys","Bennett",5,"504"
"150","Jennifer","Jackson",1,"1"
"150","Jennifer","Jackson",2,"1"
"150","Jennifer","Jackson",3,"5"
"150","Jennifer","Jackson",4,"18"
"150","Jennifer","Jackson",5,"54"
"166","Cheryl","Foster",1,"4"
"166","Cheryl","Foster",2,"16"
"166","Cheryl","Foster",3,"40"
"166","Cheryl","Foster",4,"116"
"166","Cheryl","Foster",5,"404"
"210","Patricia","Hill",1,"3"
"210","Patricia","Hill",2,"9"
"210","Patricia","Hill",3,"9"
"210","Patricia","Hill",4,"36"
"210","Patricia","Hill",5,"90"
"260","Ashley","Thompson",1,"5"
"260","Ashley","Thompson",2,"25"
"260","Ashley","Thompson",3,"40"
"260","Ashley","Thompson",4,"90"
"260","Ashley","Thompson",5,"270"
"293","Anne","Gonzalez",1,"9"
"293","Anne","Gonzalez",2,"81"
"293","Anne","Gonzalez",3,"207"
"293","Anne","Gonzalez",4,"531"
"293","Anne","Gonzalez",5,"1476"
"305","Pamela","Walker",1,"3"
"305","Pamela","Walker",2,"9"
"305","Pamela","Walker",3,"18"
"305","Pamela","Walker",4,"63"
"305","Pamela","Walker",5,"219"
"311","Brian","Morris",1,"3"
"311","Brian","Morris",2,"9"
"311","Brian","Morris",3,"15"
"311","Brian","Morris",4,"66"
"311","Brian","Morris",5,"216"
"374","Henry","Bryant",1,"2"
"374","Henry","Bryant",2,"4"
"374","Henry","Bryant",3,"10"
"374","Henry","Bryant",4,"30"
"374","Henry","Bryant",5,"106"
"417","Christine","Brown",1,"2"
"417","Christine","Brown",2,"4"
"417","Christine","Brown",3,"12"
"417","Christine","Brown",4,"40"
"417","Christine","Brown",5,"94"
"463","Tracy","White",1,"3"
"463","Tracy","White",2,"9"
"463","Tracy","White",3,"39"
"463","Tracy","White",4,"93"
"463","Tracy","White",5,"234"
"471","Judy","Robinson",1,"3"
